sweep,symbol,total_sims,healthy_20,healthy_50,best_sharpe_20,best_sharpe_50,best_pnl_50,best_trades_50
sweep_1,xyz:CL,800,10,10,0.28,0.28,129.54,87
sweep_1,xyz:COPPER,800,260,148,1.23,0.88,33.77,168
sweep_1,xyz:GOLD,800,135,35,0.86,0.35,81.73,62
sweep_1,xyz:NATGAS,147,0,0,,,,
sweep_1,xyz:SILVER,800,72,37,1.07,1.07,96.72,54
sweep_1,xyz:SP500,800,112,75,0.51,0.51,76.71,236
sweep_1,xyz:XYZ100,800,10,10,0.73,0.73,121.01,634
natgas_rerun,xyz:NATGAS,800,69,22,0.87,0.85,89.85,60
sweep_a,xyz:CL,800,21,12,0.79,0.79,364.10,79
sweep_a,xyz:SILVER,800,156,105,1.57,1.57,162.26,129
sweep_b,xyz:CL,1600,395,103,1.29,1.29,556.04,64
sweep_b,xyz:COPPER,1600,497,158,3.34,3.34,65.64,66
sweep_b,xyz:GOLD,681,107,2,0.93,0.07,20.58,51
sweep_b,xyz:NATGAS,1600,848,559,2.45,2.45,77.93,120
sweep_b,xyz:SILVER,1600,136,96,1.03,1.03,86.93,87
sweep_b,xyz:SP500,1600,1094,851,1.45,1.45,88.26,179
sweep_b,xyz:XYZ100,1600,61,58,1.49,1.49,57.95,160
silver_rerun,xyz:SILVER,1600,174,96,1.26,1.26,90.87,105
gold_v2,xyz:GOLD,1600,101,2,0.91,0.13,35.33,53
gold_v3,xyz:GOLD,3200,381,20,1.43,0.38,35.62,64
gold_v4,xyz:GOLD,3200,540,97,1.99,1.99,92.12,58
