variant,place_thresh,cancel_buffer,pred_momentum_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
0,0.00025,0.1,0,0.1,1895.87,1904.74,8.88,1.18,462,3619.55
1,0.0003,0.1,0,0.1,1822.15,1829.32,7.17,0.94,364,3343.85
2,0.0004,0.1,0,0.1,1763.74,1768.87,5.12,0.91,249,2820.88
3,0.0005,0.1,0,0.1,1650.47,1654.21,3.74,0.91,172,2599.57
4,0.00025,0.2,0,0.1,1951.48,1960.55,9.07,1.18,468,3453.03
5,0.0003,0.2,0,0.1,1734.21,1741.68,7.47,0.89,375,2875.24
6,0.0004,0.2,0,0.1,1750.66,1755.84,5.18,0.87,253,2745.84
7,0.0005,0.2,0,0.1,1649.64,1653.40,3.76,0.78,173,2506.43
8,0.00025,0.3,0,0.1,1862.49,1871.63,9.14,1.13,474,3323.76
9,0.0003,0.3,0,0.1,1857.20,1864.90,7.69,1.01,385,3279.97
10,0.0004,0.3,0,0.1,1712.01,1717.29,5.29,0.93,253,2575.37
11,0.0005,0.3,0,0.1,1610.25,1614.07,3.81,0.89,176,2626.32
12,0.00025,0.1,0.2,0.1,1938.80,1946.96,8.16,1.21,415,3640.06
13,0.0003,0.1,0.2,0.1,1786.21,1792.77,6.56,0.95,329,2956.56
14,0.0004,0.1,0.2,0.1,1520.23,1524.82,4.59,0.82,224,2122.39
15,0.0005,0.1,0.2,0.1,1587.19,1590.69,3.50,0.87,165,2146.67
16,0.00025,0.2,0.2,0.1,1834.39,1842.45,8.05,1.21,418,3437.35
17,0.0003,0.2,0.2,0.1,1641.59,1648.18,6.59,0.95,332,2470.74
18,0.0004,0.2,0.2,0.1,1608.37,1613.07,4.70,0.94,225,2441.56
19,0.0005,0.2,0.2,0.1,1679.00,1682.54,3.54,0.84,168,2149.07
20,0.00025,0.3,0.2,0.1,1852.37,1860.89,8.52,1.22,435,3410.53
21,0.0003,0.3,0.2,0.1,1740.06,1747.04,6.98,1.02,346,3227.01
22,0.0004,0.3,0.2,0.1,1710.69,1715.29,4.61,0.92,224,2910.21
23,0.0005,0.3,0.2,0.1,1546.83,1550.36,3.53,0.81,166,2101.40
24,0.00025,0.1,0.5,0.1,1791.00,1798.72,7.72,1.17,389,3296.81
25,0.0003,0.1,0.5,0.1,1781.90,1788.11,6.21,1.07,306,3118.68
26,0.0004,0.1,0.5,0.1,1719.68,1724.20,4.52,0.93,217,2515.96
27,0.0005,0.1,0.5,0.1,1389.34,1392.69,3.35,0.85,152,1832.83
28,0.00025,0.2,0.5,0.1,1877.26,1885.16,7.90,1.17,397,3483.92
29,0.0003,0.2,0.5,0.1,1793.51,1799.74,6.23,0.97,314,2878.36
30,0.0004,0.2,0.5,0.1,1767.95,1772.52,4.57,0.92,220,2691.14
31,0.0005,0.2,0.5,0.1,1470.29,1473.71,3.43,0.77,155,1715.74
32,0.00025,0.3,0.5,0.1,1797.27,1805.14,7.87,1.06,398,3147.37
33,0.0003,0.3,0.5,0.1,1731.15,1737.62,6.46,1.03,318,2706.71
34,0.0004,0.3,0.5,0.1,1646.21,1650.81,4.61,0.82,221,2391.35
35,0.0005,0.3,0.5,0.1,1577.14,1580.57,3.43,0.89,158,2459.74
36,0.00025,0.1,1,0.1,1734.19,1741.58,7.40,1.10,374,3197.58
37,0.0003,0.1,1,0.1,1783.36,1789.30,5.94,0.95,293,2512.52
38,0.0004,0.1,1,0.1,1505.12,1509.29,4.17,0.92,205,2258.72
39,0.0005,0.1,1,0.1,1646.71,1650.12,3.42,0.83,156,2167.86
40,0.00025,0.2,1,0.1,1890.18,1897.32,7.14,1.23,365,3368.57
41,0.0003,0.2,1,0.1,1744.69,1750.73,6.04,1.00,306,2625.69
42,0.0004,0.2,1,0.1,1752.38,1756.79,4.41,0.84,217,2334.33
43,0.0005,0.2,1,0.1,1639.10,1642.29,3.19,0.79,145,2109.80
44,0.00025,0.3,1,0.1,1948.89,1956.39,7.50,1.26,386,3543.22
45,0.0003,0.3,1,0.1,1721.95,1728.13,6.18,0.99,305,2808.20
46,0.0004,0.3,1,0.1,1772.42,1776.93,4.51,0.91,220,2688.38
47,0.0005,0.3,1,0.1,1548.45,1551.73,3.28,0.89,149,2079.63
48,0.00025,0.1,0,0.35,1637.29,1645.61,8.31,1.39,430,3123.92
49,0.0003,0.1,0,0.35,1480.56,1486.96,6.40,1.18,324,2691.66
50,0.0004,0.1,0,0.35,1211.70,1216.06,4.36,1.27,220,2132.29
51,0.0005,0.1,0,0.35,1180.23,1183.47,3.24,1.13,159,2228.54
52,0.00025,0.2,0,0.35,1653.40,1661.39,7.99,1.49,425,3546.03
53,0.0003,0.2,0,0.35,1507.94,1514.61,6.66,1.14,333,2723.38
54,0.0004,0.2,0,0.35,1306.28,1310.98,4.69,1.15,231,2238.16
55,0.0005,0.2,0,0.35,1127.85,1131.15,3.30,1.17,156,2088.06
56,0.00025,0.3,0,0.35,1737.17,1745.64,8.47,1.30,443,3483.48
57,0.0003,0.3,0,0.35,1412.73,1419.43,6.70,1.20,346,2615.22
58,0.0004,0.3,0,0.35,1393.62,1398.48,4.87,1.17,233,2523.95
59,0.0005,0.3,0,0.35,1143.70,1147.16,3.47,1.09,160,1949.81
60,0.00025,0.1,0.2,0.35,1643.60,1650.98,7.38,1.27,377,3297.39
61,0.0003,0.1,0.2,0.35,1520.08,1525.98,5.91,1.23,292,2872.85
62,0.0004,0.1,0.2,0.35,1316.50,1320.62,4.13,1.12,196,2305.23
63,0.0005,0.1,0.2,0.35,1138.70,1141.85,3.15,1.07,147,2241.66
