variant  place_thresh  max_pos  rung_spacing_mult  cancel_buffer  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
9        0.0003        100      2.5                0.1            0                  0.1                   479.81   485.63          5.82      2.14    307       1305.42
41       0.0003        100      2.5                0.1            3                  0.1                   493.79   498.00          4.21      2.96    221       1378.03
33       0.0003        100      1.5                0.1            3                  0.1                   642.68   648.32          5.63      1.63    300       1395.47
25       0.0003        100      2.5                0.1            1                  0.1                   603.53   608.53          5.01      2.50    256       1448.80
88       0.00025       100      2.5                0.1            3                  0.25                  650.53   655.48          4.95      2.78    272       1557.40
40       0.00025       100      2.5                0.1            3                  0.1                   648.85   653.98          5.13      2.24    279       1562.41
89       0.0003        100      2.5                0.1            3                  0.25                  561.46   565.65          4.20      2.76    219       1651.48
73       0.0003        100      2.5                0.1            1                  0.25                  547.68   552.47          4.79      2.31    247       1667.65
35       0.0003        200      1.5                0.1            3                  0.1                   742.83   748.91          6.08      2.55    305       1698.98
32       0.00025       100      1.5                0.1            3                  0.1                   618.85   625.87          7.02      2.31    370       1700.42
81       0.0003        100      1.5                0.1            3                  0.25                  630.19   635.36          5.17      1.83    288       1737.67
72       0.00025       100      2.5                0.1            1                  0.25                  672.50   678.44          5.94      2.39    322       1771.10
17       0.0003        100      1.5                0.1            1                  0.1                   810.57   817.41          6.84      1.91    360       1772.70
56       0.00025       100      2.5                0.1            0                  0.25                  685.84   692.91          7.06      1.87    375       1831.15
8        0.00025       100      2.5                0.1            0                  0.1                   610.69   617.85          7.16      1.88    386       1855.42
16       0.00025       100      1.5                0.1            1                  0.1                   712.58   721.04          8.46      1.53    446       1862.12
80       0.00025       100      1.5                0.1            3                  0.25                  613.45   620.33          6.89      1.97    369       1884.97
24       0.00025       100      2.5                0.1            1                  0.1                   688.67   694.84          6.17      2.18    331       1885.10
43       0.0003        200      2.5                0.1            3                  0.1                   649.24   654.11          4.87      2.34    235       1885.43
1        0.0003        100      1.5                0.1            0                  0.1                   731.36   739.23          7.87      1.89    424       1916.38
65       0.0003        100      1.5                0.1            1                  0.25                  704.18   710.70          6.53      1.63    350       1978.93
91       0.0003        200      2.5                0.1            3                  0.25                  708.07   712.39          4.32      2.34    214       1982.65
27       0.0003        200      2.5                0.1            1                  0.1                   712.35   718.08          5.73      1.94    284       2000.43
75       0.0003        200      2.5                0.1            1                  0.25                  754.01   759.20          5.18      2.37    267       2033.17
74       0.00025       200      2.5                0.1            1                  0.25                  925.17   931.61          6.45      2.57    333       2042.12
42       0.00025       200      2.5                0.1            3                  0.1                   728.89   734.57          5.68      3.14    290       2064.55
57       0.0003        100      2.5                0.1            0                  0.25                  638.21   644.12          5.90      1.66    314       2154.47
90       0.00025       200      2.5                0.1            3                  0.25                  813.63   819.13          5.51      5.15    277       2175.72
64       0.00025       100      1.5                0.1            1                  0.25                  912.99   921.33          8.34      1.84    428       2232.87
13       0.0003        400      2.5                0.1            0                  0.1                   952.06   959.94          7.88      1.26    385       2286.74
34       0.00025       200      1.5                0.1            3                  0.1                   829.34   836.62          7.29      3.36    381       2340.12
7        0.0003        800      1.5                0.1            0                  0.1                   1414.27  1425.21         10.94     0.88    547       2348.04
59       0.0003        200      2.5                0.1            0                  0.25                  947.70   954.59          6.89      2.82    341       2378.53
48       0.00025       100      1.5                0.1            0                  0.25                  828.59   838.34          9.75      1.56    525       2407.94
93       0.0003        400      2.5                0.1            3                  0.25                  1063.51  1067.74         4.24      1.65    215       2452.19
83       0.0003        200      1.5                0.1            3                  0.25                  837.64   843.28          5.65      4.24    291       2460.52
45       0.0003        400      2.5                0.1            3                  0.1                   1017.24  1021.99         4.75      1.68    232       2472.97
47       0.0003        800      2.5                0.1            3                  0.1                   1695.51  1700.51         5.00      0.86    235       2478.59
3        0.0003        200      1.5                0.1            0                  0.1                   957.88   967.77          9.89      2.51    508       2512.05
0        0.00025       100      1.5                0.1            0                  0.1                   871.49   881.71          10.22     1.71    543       2518.25
82       0.00025       200      1.5                0.1            3                  0.25                  826.52   833.38          6.86      3.39    364       2525.49
26       0.00025       200      2.5                0.1            1                  0.1                   978.10   984.91          6.81      4.02    351       2527.73
11       0.0003        200      2.5                0.1            0                  0.1                   936.79   944.22          7.43      2.93    363       2542.91
53       0.0003        400      1.5                0.1            0                  0.25                  1133.89  1143.58         9.69      1.89    492       2577.27
49       0.0003        100      1.5                0.1            0                  0.25                  782.82   790.70          7.89      1.62    425       2613.01
95       0.0003        800      2.5                0.1            3                  0.25                  1509.45  1513.89         4.44      1.08    213       2683.48
92       0.00025       400      2.5                0.1            3                  0.25                  1121.67  1127.19         5.53      2.07    278       2688.02
94       0.00025       800      2.5                0.1            3                  0.25                  1718.29  1723.93         5.64      1.02    283       2702.05
86       0.00025       800      1.5                0.1            3                  0.25                  1657.80  1664.87         7.07      1.14    359       2767.58
44       0.00025       400      2.5                0.1            3                  0.1                   1096.94  1102.70         5.76      2.42    293       2858.46
85       0.0003        400      1.5                0.1            3                  0.25                  1224.46  1230.18         5.73      1.97    285       2862.93
39       0.0003        800      1.5                0.1            3                  0.1                   1759.62  1765.84         6.22      0.97    313       2888.42
10       0.00025       200      2.5                0.1            0                  0.1                   1091.02  1099.34         8.32      4.72    443       2904.12
29       0.0003        400      2.5                0.1            1                  0.1                   904.36   910.39          6.02      1.72    295       2975.80
58       0.00025       200      2.5                0.1            0                  0.25                  896.83   905.22          8.39      2.71    434       2987.37
76       0.00025       400      2.5                0.1            1                  0.25                  1098.00  1104.65         6.65      2.32    332       3027.11
87       0.0003        800      1.5                0.1            3                  0.25                  1664.23  1670.09         5.87      1.25    291       3030.22
37       0.0003        400      1.5                0.1            3                  0.1                   1057.17  1063.31         6.14      1.81    312       3047.83
77       0.0003        400      2.5                0.1            1                  0.25                  1082.84  1088.24         5.40      3.28    267       3063.10
61       0.0003        400      2.5                0.1            0                  0.25                  1143.03  1150.52         7.48      2.31    369       3069.93
19       0.0003        200      1.5                0.1            1                  0.1                   857.89   865.21          7.32      1.71    377       3075.75
5        0.0003        400      1.5                0.1            0                  0.1                   1287.40  1297.78         10.39     2.17    527       3105.76
20       0.00025       400      1.5                0.1            1                  0.1                   1188.28  1197.93         9.65      2.05    491       3124.96
66       0.00025       200      1.5                0.1            1                  0.25                  999.78   1008.36         8.58      2.60    450       3141.39
38       0.00025       800      1.5                0.1            3                  0.1                   1772.02  1779.68         7.65      1.09    393       3144.03
36       0.00025       400      1.5                0.1            3                  0.1                   1135.18  1142.83         7.65      2.75    387       3161.59
84       0.00025       400      1.5                0.1            3                  0.25                  1221.74  1228.67         6.94      3.15    358       3210.58
31       0.0003        800      2.5                0.1            1                  0.1                   1573.74  1579.99         6.25      1.05    297       3239.77
46       0.00025       800      2.5                0.1            3                  0.1                   1785.12  1791.31         6.19      0.97    304       3261.48
79       0.0003        800      2.5                0.1            1                  0.25                  1773.24  1778.78         5.54      1.07    271       3271.79
21       0.0003        400      1.5                0.1            1                  0.1                   1073.03  1081.01         7.98      1.72    396       3321.69
18       0.00025       200      1.5                0.1            1                  0.1                   980.24   989.42          9.19      2.49    485       3329.19
67       0.0003        200      1.5                0.1            1                  0.25                  955.93   962.88          6.95      2.02    361       3349.11
28       0.00025       400      2.5                0.1            1                  0.1                   1046.04  1053.21         7.17      1.75    356       3436.69
2        0.00025       200      1.5                0.1            0                  0.1                   1079.89  1091.48         11.59     1.85    609       3488.19
69       0.0003        400      1.5                0.1            1                  0.25                  1291.57  1298.67         7.10      6.55    363       3504.28
51       0.0003        200      1.5                0.1            0                  0.25                  1062.67  1071.75         9.07      2.73    468       3510.24
50       0.00025       200      1.5                0.1            0                  0.25                  1101.18  1112.54         11.36     1.76    591       3525.01
68       0.00025       400      1.5                0.1            1                  0.25                  1265.90  1274.52         8.62      4.03    454       3542.97
78       0.00025       800      2.5                0.1            1                  0.25                  1868.72  1875.30         6.58      1.13    330       3570.34
15       0.0003        800      2.5                0.1            0                  0.1                   1460.27  1468.24         7.97      0.93    399       3610.29
52       0.00025       400      1.5                0.1            0                  0.25                  1388.06  1399.96         11.90     2.31    614       3690.84
