variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
143      0.0003        400      10               0.0045        0.2                      0.1            0.5               0                  0.25                  1261.43  1271.43         10.01     2.41    507       2674.91
301      0.0003        400      4                0.0045        0.2                      0.1            0.2               0                  0.4                   1118.71  1127.75         9.04      3.14    458       2679.04
115      0.0003        400      4                0.003         0.1                      0.1            0.5               0                  0.25                  1194.74  1204.57         9.83      2.12    489       2750.85
264      0.00025       400      4                0.0045        0.4                      0.1            0                 0                  0.4                   1313.93  1325.26         11.32     2.14    573       2776.87
33       0.0003        400      7                0.0045        0.2                      0.1            0                 0                  0.25                  1189.13  1199.08         9.95      1.89    498       2787.04
6        0.00025       400      4                0.003         0.1                      0.1            0                 0                  0.25                  1244.39  1256.63         12.24     2.07    610       2788.63
195      0.0003        400      7                0.0045        0.2                      0.1            0.8               0                  0.25                  1168.98  1179.10         10.12     1.95    500       2805.42
385      0.0003        400      4                0.003         0.1                      0.1            0.8               0                  0.4                   1180.47  1189.91         9.44      3.41    463       2806.44
391      0.0003        400      4                0.0045        0.1                      0.1            0.8               0                  0.4                   1166.59  1175.85         9.26      3.22    470       2817.49
125      0.0003        400      10               0.0045        0.1                      0.1            0.5               0                  0.25                  1243.42  1253.21         9.79      2.12    498       2868.08
78       0.00025       400      4                0.003         0.2                      0.1            0.2               0                  0.25                  1314.35  1326.91         12.56     2.14    610       2869.18
89       0.0003        400      10               0.0045        0.2                      0.1            0.2               0                  0.25                  1299.80  1309.63         9.83      2.27    496       2873.78
120      0.00025       400      4                0.0045        0.1                      0.1            0.5               0                  0.25                  1300.07  1311.67         11.60     2.09    600       2873.81
191      0.0003        400      10               0.003         0.2                      0.1            0.8               0                  0.25                  1366.18  1376.79         10.61     2.56    510       2893.85
24       0.00025       400      4                0.003         0.2                      0.1            0                 0                  0.25                  1272.89  1285.34         12.44     2.23    612       2917.63
