variant,place_thresh,cancel_buffer,front_rung_spacing_mult,max_pos,pred_momentum_coef,premium_ema_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
0,0.00025,0.1,0.25,80,0,0,0.1,323.69,330.17,6.48,0.70,407,236.08
1,0.0003,0.1,0.25,80,0,0,0.1,287.00,292.58,5.58,0.79,346,267.68
2,0.0005,0.1,0.25,80,0,0,0.1,105.34,108.62,3.28,0.35,198,58.75
3,0.00025,0.1,1,80,0,0,0.1,233.15,238.27,5.12,0.69,314,180.15
4,0.0003,0.1,1,80,0,0,0.1,161.50,165.66,4.16,0.57,252,53.97
5,0.0005,0.1,1,80,0,0,0.1,17.56,19.82,2.26,0.05,125,26.55
6,0.00025,0.1,0.25,100,0,0,0.1,254.63,261.36,6.73,0.46,416,117.12
7,0.0003,0.1,0.25,100,0,0,0.1,186.60,192.10,5.50,0.36,345,243.64
8,0.0005,0.1,0.25,100,0,0,0.1,14.97,18.26,3.29,0.04,200,-11.88
9,0.00025,0.1,1,100,0,0,0.1,124.19,129.51,5.33,0.32,324,-12.12
10,0.0003,0.1,1,100,0,0,0.1,7.59,11.95,4.36,0.02,264,-111.95
11,0.0005,0.1,1,100,0,0,0.1,-97.30,-94.93,2.37,-0.24,127,-129.86
12,0.00025,0.1,0.25,140,0,0,0.1,53.48,60.21,6.74,0.08,429,-6.16
13,0.0003,0.1,0.25,140,0,0,0.1,-17.80,-11.97,5.83,-0.02,363,29.73
14,0.0005,0.1,0.25,140,0,0,0.1,-109.77,-106.31,3.46,-0.16,205,-39.19
15,0.00025,0.1,1,140,0,0,0.1,42.36,47.87,5.51,0.07,335,-34.27
16,0.0003,0.1,1,140,0,0,0.1,-130.72,-126.27,4.45,-0.21,267,-59.46
17,0.0005,0.1,1,140,0,0,0.1,-193.67,-191.19,2.48,-0.35,135,-178.85
18,0.00025,0.1,0.25,80,0.2,0,0.1,384.31,390.39,6.07,0.80,371,444.52
19,0.0003,0.1,0.25,80,0.2,0,0.1,284.17,289.20,5.04,0.69,312,335.57
20,0.0005,0.1,0.25,80,0.2,0,0.1,96.94,100.07,3.13,0.27,181,4.89
21,0.00025,0.1,1,80,0.2,0,0.1,237.62,242.40,4.78,0.63,290,196.59
22,0.0003,0.1,1,80,0.2,0,0.1,170.57,174.54,3.97,0.46,230,-18.27
23,0.0005,0.1,1,80,0.2,0,0.1,-35.60,-33.43,2.18,-0.11,118,-147.33
24,0.00025,0.1,0.25,100,0.2,0,0.1,350.37,356.50,6.13,0.63,387,418.81
25,0.0003,0.1,0.25,100,0.2,0,0.1,263.50,268.60,5.10,0.59,320,411.59
26,0.0005,0.1,0.25,100,0.2,0,0.1,-8.19,-5.01,3.18,-0.02,185,-28.73
27,0.00025,0.1,1,100,0.2,0,0.1,218.67,223.55,4.87,0.55,288,81.44
28,0.0003,0.1,1,100,0.2,0,0.1,103.36,107.41,4.05,0.26,237,116.35
29,0.0005,0.1,1,100,0.2,0,0.1,-131.72,-129.29,2.43,-0.28,127,-146.71
30,0.00025,0.1,0.25,140,0.2,0,0.1,132.63,138.89,6.27,0.18,390,1.79
31,0.0003,0.1,0.25,140,0.2,0,0.1,10.54,15.80,5.26,0.02,322,26.84
32,0.0005,0.1,0.25,140,0.2,0,0.1,-85.20,-81.88,3.32,-0.12,186,-91.05
33,0.00025,0.1,1,140,0.2,0,0.1,-4.80,0.14,4.94,-0.01,293,-73.22
34,0.0003,0.1,1,140,0.2,0,0.1,-85.61,-81.71,3.91,-0.14,234,-68.95
35,0.0005,0.1,1,140,0.2,0,0.1,-73.92,-71.48,2.44,-0.13,128,-54.38
36,0.00025,0.1,0.25,80,0.5,0,0.1,356.75,362.09,5.34,0.85,329,480.18
37,0.0003,0.1,0.25,80,0.5,0,0.1,291.84,296.55,4.71,0.82,284,310.15
38,0.0005,0.1,0.25,80,0.5,0,0.1,124.14,127.19,3.05,0.43,175,125.15
39,0.00025,0.1,1,80,0.5,0,0.1,234.38,238.92,4.53,0.67,264,349.59
40,0.0003,0.1,1,80,0.5,0,0.1,162.98,166.79,3.81,0.44,223,68.01
41,0.0005,0.1,1,80,0.5,0,0.1,-33.02,-30.76,2.25,-0.13,120,-77.99
42,0.00025,0.1,0.25,100,0.5,0,0.1,283.72,289.34,5.62,0.50,347,153.28
43,0.0003,0.1,0.25,100,0.5,0,0.1,279.23,284.22,4.99,0.59,304,190.99
44,0.0005,0.1,0.25,100,0.5,0,0.1,23.52,26.61,3.09,0.07,180,19.68
45,0.00025,0.1,1,100,0.5,0,0.1,97.18,101.75,4.56,0.29,268,-7.73
46,0.0003,0.1,1,100,0.5,0,0.1,121.29,125.05,3.76,0.34,220,113.21
47,0.0005,0.1,1,100,0.5,0,0.1,-10.09,-7.69,2.40,-0.03,122,-12.07
48,0.00025,0.1,0.25,140,0.5,0,0.1,53.38,59.18,5.81,0.09,352,-16.03
49,0.0003,0.1,0.25,140,0.5,0,0.1,26.60,31.66,5.06,0.04,306,-54.34
50,0.0005,0.1,0.25,140,0.5,0,0.1,-67.52,-64.33,3.18,-0.10,179,-34.73
51,0.00025,0.1,1,140,0.5,0,0.1,-78.67,-74.12,4.55,-0.13,268,-54.44
52,0.0003,0.1,1,140,0.5,0,0.1,-66.89,-62.99,3.90,-0.13,225,-107.75
53,0.0005,0.1,1,140,0.5,0,0.1,-146.40,-144.15,2.26,-0.23,123,-91.46
54,0.00025,0.1,0.25,80,1,0,0.1,365.56,371.02,5.45,0.82,312,624.77
55,0.0003,0.1,0.25,80,1,0,0.1,239.66,244.22,4.56,0.64,268,196.01
56,0.0005,0.1,0.25,80,1,0,0.1,105.90,108.73,2.84,0.33,167,17.88
57,0.00025,0.1,1,80,1,0,0.1,208.05,212.51,4.46,0.54,253,157.79
58,0.0003,0.1,1,80,1,0,0.1,123.18,126.81,3.63,0.45,206,36.86
59,0.0005,0.1,1,80,1,0,0.1,42.86,45.08,2.22,0.17,113,9.56
60,0.00025,0.1,0.25,100,1,0,0.1,318.25,323.53,5.29,0.73,318,180.00
61,0.0003,0.1,0.25,100,1,0,0.1,241.50,246.21,4.71,0.62,278,185.66
62,0.0005,0.1,0.25,100,1,0,0.1,112.79,115.67,2.88,0.32,168,24.67
