variant  place_thresh  cancel_buffer  max_pos  max_back_levels  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
9        0.0003        0.1            80       4                0                   3                  0.25                  278.55   283.99          5.44      0.70    344       312.99
11       0.0003        0.1            80       8                0                   3                  0.25                  262.04   267.46          5.42      0.69    337       457.31
8        0.00025       0.1            80       4                0                   3                  0.25                  383.85   390.10          6.26      0.80    397       473.55
10       0.00025       0.1            80       8                0                   3                  0.25                  354.94   361.25          6.31      0.83    398       484.20
7        0.0003        0.1            80       8                0                   1                  0.25                  319.20   325.67          6.47      0.76    402       558.00
6        0.00025       0.1            80       8                0                   1                  0.25                  410.47   418.09          7.62      0.87    475       562.02
2        0.00025       0.1            80       8                0                   0                  0.25                  408.51   417.35          8.83      0.91    548       620.74
4        0.00025       0.1            80       4                0                   1                  0.25                  368.60   376.28          7.68      0.76    477       626.56
5        0.0003        0.1            80       4                0                   1                  0.25                  323.07   329.58          6.50      0.88    399       644.99
3        0.0003        0.1            80       8                0                   0                  0.25                  393.21   400.98          7.77      1.02    472       764.62
0        0.00025       0.1            80       4                0                   0                  0.25                  434.91   443.60          8.69      0.96    544       779.00
1        0.0003        0.1            80       4                0                   0                  0.25                  440.78   448.40          7.62      1.08    475       808.29
