variant  place_thresh  cancel_buffer  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
47       0.0003        0.1            80       4                0.0045        0.2                      0.5               0                   0                  0.25                  362.36   370.08          7.73      1.02    481       552.57
28       0.00025       0.1            80       4                0.0045        0.2                      0.2               0                   0                  0.25                  353.54   362.32          8.78      0.71    549       560.04
124      0.00025       0.1            80       4                0.0045        0.4                      0.5               0                   0                  0.5                   423.27   431.88          8.60      0.86    531       564.09
136      0.00025       0.1            80       4                0.0045        0.2                      0.8               0                   0                  0.5                   384.57   393.09          8.52      0.87    532       575.91
50       0.00025       0.1            80       4                0.003         0.4                      0.5               0                   0                  0.25                  407.04   416.22          9.19      0.95    551       581.67
34       0.00025       0.1            80       4                0.0045        0.4                      0.2               0                   0                  0.25                  403.54   412.36          8.81      0.81    551       583.49
8        0.00025       0.1            80       4                0.003         0.2                      0                 0                   0                  0.25                  361.98   371.26          9.28      0.78    554       590.95
38       0.00025       0.1            80       4                0.003         0.1                      0.5               0                   0                  0.25                  406.99   416.22          9.23      0.88    550       624.08
93       0.0003        0.1            80       4                0.003         0.1                      0.2               0                   0                  0.5                   396.54   404.34          7.80      1.14    463       632.92
58       0.00025       0.1            80       4                0.0045        0.1                      0.8               0                   0                  0.25                  391.82   400.47          8.65      0.84    547       641.71
26       0.00025       0.1            80       4                0.003         0.2                      0.2               0                   0                  0.25                  391.83   401.02          9.20      0.91    549       651.11
2        0.00025       0.1            80       4                0.003         0.1                      0                 0                   0                  0.25                  410.93   420.19          9.26      0.86    550       653.59
29       0.0003        0.1            80       4                0.0045        0.2                      0.2               0                   0                  0.25                  388.40   396.09          7.69      1.06    477       663.76
16       0.00025       0.1            80       4                0.0045        0.4                      0                 0                   0                  0.25                  384.56   393.32          8.77      0.88    544       664.26
134      0.00025       0.1            80       4                0.003         0.2                      0.8               0                   0                  0.5                   414.81   423.93          9.12      0.87    546       668.22
4        0.00025       0.1            80       4                0.0045        0.1                      0                 0                   0                  0.25                  385.95   394.67          8.72      0.82    545       669.99
110      0.00025       0.1            80       4                0.003         0.1                      0.5               0                   0                  0.5                   444.71   453.84          9.13      0.93    546       696.88
56       0.00025       0.1            80       4                0.003         0.1                      0.8               0                   0                  0.25                  392.42   401.57          9.15      0.85    547       705.78
106      0.00025       0.1            80       4                0.0045        0.4                      0.2               0                   0                  0.5                   439.45   448.08          8.63      1.01    535       707.71
70       0.00025       0.1            80       4                0.0045        0.4                      0.8               0                   0                  0.25                  394.83   403.57          8.74      0.89    547       708.18
53       0.0003        0.1            80       4                0.0045        0.4                      0.5               0                   0                  0.25                  410.49   418.17          7.68      1.06    475       709.56
94       0.00025       0.1            80       4                0.0045        0.1                      0.2               0                   0                  0.5                   383.33   391.97          8.63      0.84    536       710.85
52       0.00025       0.1            80       4                0.0045        0.4                      0.5               0                   0                  0.25                  377.04   385.84          8.81      0.89    545       718.40
64       0.00025       0.1            80       4                0.0045        0.2                      0.8               0                   0                  0.25                  383.54   392.30          8.76      0.85    543       719.34
41       0.0003        0.1            80       4                0.0045        0.1                      0.5               0                   0                  0.25                  388.19   395.87          7.68      0.83    475       721.55
113      0.0003        0.1            80       4                0.0045        0.1                      0.5               0                   0                  0.5                   388.19   395.53          7.34      0.99    454       723.50
100      0.00025       0.1            80       4                0.0045        0.2                      0.2               0                   0                  0.5                   423.07   431.61          8.54      0.91    541       732.76
62       0.00025       0.1            80       4                0.003         0.2                      0.8               0                   0                  0.25                  434.00   443.08          9.08      0.97    543       733.86
88       0.00025       0.1            80       4                0.0045        0.4                      0                 0                   0                  0.5                   402.48   411.03          8.55      0.98    536       737.67
68       0.00025       0.1            80       4                0.003         0.4                      0.8               0                   0                  0.25                  447.18   456.43          9.26      1.00    551       741.14
44       0.00025       0.1            80       4                0.003         0.2                      0.5               0                   0                  0.25                  414.21   423.30          9.09      0.82    549       743.59
33       0.0003        0.1            80       4                0.003         0.4                      0.2               0                   0                  0.25                  411.17   419.36          8.19      1.33    484       744.53
105      0.0003        0.1            80       4                0.003         0.4                      0.2               0                   0                  0.5                   417.07   425.10          8.03      1.22    468       749.54
75       0.0003        0.1            80       4                0.003         0.1                      0                 0                   0                  0.5                   441.08   449.05          7.97      1.21    474       751.69
92       0.00025       0.1            80       4                0.003         0.1                      0.2               0                   0                  0.5                   391.02   400.05          9.04      0.79    544       752.19
20       0.00025       0.1            80       4                0.003         0.1                      0.2               0                   0                  0.25                  393.42   402.56          9.15      0.98    550       752.93
80       0.00025       0.1            80       4                0.003         0.2                      0                 0                   0                  0.5                   414.64   423.80          9.16      0.87    545       753.04
59       0.0003        0.1            80       4                0.0045        0.1                      0.8               0                   0                  0.25                  388.20   395.89          7.70      1.07    475       754.12
125      0.0003        0.1            80       4                0.0045        0.4                      0.5               0                   0                  0.5                   371.06   378.57          7.52      1.00    461       755.52
39       0.0003        0.1            80       4                0.003         0.1                      0.5               0                   0                  0.25                  411.92   420.06          8.14      1.03    484       756.71
23       0.0003        0.1            80       4                0.0045        0.1                      0.2               0                   0                  0.25                  392.10   399.84          7.73      1.08    475       764.62
82       0.00025       0.1            80       4                0.0045        0.2                      0                 0                   0                  0.5                   412.34   420.91          8.57      0.92    538       764.81
