variant,place_thresh,cancel_buffer,max_pos,max_back_levels,order_decrease_coef,cross_thresh,cross_limit_maxpos_frac,premium_ema_coef,pred_momentum_coef,curv_impulse_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
0,0.000175,0.1,80,4,0.2,0.0015,0.1,0,0,0,0.25,784.72,802.59,17.87,1.88,770,1941.27
1,0.000225,0.1,80,4,0.2,0.0015,0.1,0,0,0,0.25,779.70,795.53,15.82,1.74,675,1815.67
2,0.00025,0.1,80,4,0.2,0.0015,0.1,0,0,0,0.25,749.17,765.13,15.96,1.65,658,1690.15
3,0.0003,0.1,80,4,0.2,0.0015,0.1,0,0,0,0.25,788.02,803.15,15.12,1.74,617,1792.34
4,0.000175,0.1,80,8,0.2,0.0015,0.1,0,0,0,0.25,840.27,857.79,17.52,1.72,751,2035.10
5,0.000225,0.1,80,8,0.2,0.0015,0.1,0,0,0,0.25,799.51,815.97,16.46,2.07,693,1948.27
6,0.00025,0.1,80,8,0.2,0.0015,0.1,0,0,0,0.25,747.46,763.20,15.74,2.04,661,1856.22
7,0.0003,0.1,80,8,0.2,0.0015,0.1,0,0,0,0.25,755.01,770.20,15.19,1.83,610,1837.02
8,0.000175,0.1,80,4,0.5,0.0015,0.1,0,0,0,0.25,774.53,792.54,18.01,1.89,797,1858.67
9,0.000225,0.1,80,4,0.5,0.0015,0.1,0,0,0,0.25,776.60,793.34,16.75,1.86,706,1888.22
10,0.00025,0.1,80,4,0.5,0.0015,0.1,0,0,0,0.25,800.05,816.47,16.42,1.90,688,1910.40
11,0.0003,0.1,80,4,0.5,0.0015,0.1,0,0,0,0.25,742.97,758.77,15.79,1.58,646,1643.19
12,0.000175,0.1,80,8,0.5,0.0015,0.1,0,0,0,0.25,778.38,796.17,17.79,2.22,784,2019.03
13,0.000225,0.1,80,8,0.5,0.0015,0.1,0,0,0,0.25,809.18,825.98,16.80,1.80,715,1963.68
14,0.00025,0.1,80,8,0.5,0.0015,0.1,0,0,0,0.25,778.43,794.80,16.36,1.56,691,1702.20
