variant,place_thresh,cancel_buffer,pred_momentum_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
0,0.00025,0.1,0,0.1,2118.31,2138.40,20.09,1.66,601,4107.28
1,0.0003,0.1,0,0.1,1877.88,1894.75,16.87,1.57,500,4071.87
2,0.0004,0.1,0,0.1,1396.98,1409.27,12.28,1.09,356,1591.48
3,0.0005,0.1,0,0.1,1178.61,1188.16,9.55,0.97,271,1892.54
4,0.00025,0.2,0,0.1,2170.54,2190.98,20.44,1.61,610,3284.68
5,0.0003,0.2,0,0.1,2055.95,2073.21,17.26,1.55,508,4485.08
6,0.0004,0.2,0,0.1,1551.49,1564.11,12.62,1.22,367,3235.14
7,0.0005,0.2,0,0.1,1256.44,1266.60,10.16,1.19,282,2468.29
8,0.00025,0.3,0,0.1,2212.89,2233.87,20.98,1.58,630,3903.22
9,0.0003,0.3,0,0.1,2022.17,2040.36,18.19,1.89,539,4666.60
10,0.0004,0.3,0,0.1,1597.71,1610.91,13.20,1.23,380,2885.41
11,0.0005,0.3,0,0.1,1345.29,1355.51,10.22,1.45,285,3171.09
12,0.00025,0.1,0.2,0.1,2329.35,2347.73,18.38,1.82,542,6350.35
13,0.0003,0.1,0.2,0.1,2022.94,2038.56,15.61,1.99,452,4479.21
14,0.0004,0.1,0.2,0.1,1388.19,1399.84,11.65,1.12,330,2338.23
15,0.0005,0.1,0.2,0.1,1310.83,1319.71,8.88,1.33,245,3038.30
16,0.00025,0.2,0.2,0.1,2147.03,2165.76,18.73,1.63,549,3863.29
17,0.0003,0.2,0.2,0.1,1747.82,1763.26,15.45,1.16,447,4367.53
18,0.0004,0.2,0.2,0.1,1383.75,1395.47,11.72,1.06,338,2512.17
19,0.0005,0.2,0.2,0.1,1195.05,1204.00,8.95,1.28,252,2832.26
20,0.00025,0.3,0.2,0.1,2126.31,2145.67,19.36,1.56,570,4225.20
21,0.0003,0.3,0.2,0.1,1906.78,1923.19,16.41,1.26,478,3247.37
22,0.0004,0.3,0.2,0.1,1464.26,1476.33,12.06,1.25,342,3171.45
23,0.0005,0.3,0.2,0.1,1400.40,1409.91,9.51,1.37,259,3143.81
24,0.00025,0.1,0.5,0.1,2170.00,2187.28,17.28,1.43,504,4265.04
25,0.0003,0.1,0.5,0.1,1768.98,1783.62,14.65,1.20,420,3483.04
26,0.0004,0.1,0.5,0.1,1330.86,1341.49,10.63,1.14,304,3047.23
27,0.0005,0.1,0.5,0.1,1279.42,1288.02,8.59,1.31,240,2110.65
28,0.00025,0.2,0.5,0.1,1959.57,1976.69,17.12,1.19,494,4046.57
29,0.0003,0.2,0.5,0.1,1721.73,1736.79,15.06,1.14,431,2354.96
30,0.0004,0.2,0.5,0.1,1335.47,1346.30,10.82,1.03,304,2266.24
31,0.0005,0.2,0.5,0.1,1268.34,1277.24,8.90,1.39,248,2557.79
32,0.00025,0.3,0.5,0.1,2035.60,2053.33,17.74,1.30,513,3853.92
33,0.0003,0.3,0.5,0.1,1751.24,1766.10,14.86,1.09,419,3576.37
34,0.0004,0.3,0.5,0.1,1305.62,1316.94,11.33,1.12,317,2687.20
35,0.0005,0.3,0.5,0.1,1384.88,1394.08,9.21,1.34,251,3254.45
36,0.00025,0.1,1,0.1,1890.30,1906.65,16.35,1.26,468,3895.95
37,0.0003,0.1,1,0.1,1768.08,1782.09,14.02,1.27,394,3201.41
38,0.0004,0.1,1,0.1,1328.55,1339.22,10.66,0.90,294,2081.90
39,0.0005,0.1,1,0.1,1129.01,1137.41,8.40,1.14,231,2450.60
40,0.00025,0.2,1,0.1,2040.81,2057.47,16.66,1.32,474,3297.14
41,0.0003,0.2,1,0.1,1726.47,1740.63,14.16,1.08,405,2775.35
42,0.0004,0.2,1,0.1,1289.46,1300.32,10.86,1.18,303,1726.54
43,0.0005,0.2,1,0.1,1110.31,1118.93,8.61,0.93,241,1689.73
44,0.00025,0.3,1,0.1,2066.26,2083.33,17.06,1.29,485,3185.07
45,0.0003,0.3,1,0.1,1797.20,1811.94,14.74,1.11,418,3958.72
46,0.0004,0.3,1,0.1,1428.11,1439.20,11.10,1.03,308,3282.56
47,0.0005,0.3,1,0.1,1169.14,1178.15,9.01,0.94,243,1273.08
48,0.00025,0.1,0,0.35,2359.61,2377.51,17.90,2.94,530,7141.33
49,0.0003,0.1,0,0.35,1906.54,1922.13,15.59,2.93,459,5344.69
50,0.0004,0.1,0,0.35,1671.22,1682.35,11.12,2.09,321,5303.05
51,0.0005,0.1,0,0.35,1224.35,1233.21,8.86,1.99,246,2818.70
52,0.00025,0.2,0,0.35,2331.97,2350.79,18.81,2.52,552,7658.44
53,0.0003,0.2,0,0.35,2206.71,2222.39,15.68,2.91,455,7493.45
54,0.0004,0.2,0,0.35,1636.41,1647.72,11.32,2.08,328,4916.46
55,0.0005,0.2,0,0.35,1405.07,1414.02,8.95,3.05,255,3686.43
56,0.00025,0.3,0,0.35,2331.31,2350.21,18.90,2.75,557,7626.09
57,0.0003,0.3,0,0.35,2133.58,2149.61,16.03,2.67,469,6672.07
58,0.0004,0.3,0,0.35,1751.60,1763.07,11.47,2.30,331,5773.17
59,0.0005,0.3,0,0.35,1490.58,1500.06,9.48,2.17,260,4566.10
60,0.00025,0.1,0.2,0.35,2388.95,2405.77,16.82,2.26,485,7070.02
61,0.0003,0.1,0.2,0.35,1872.84,1887.20,14.36,2.51,409,6321.82
62,0.0004,0.1,0.2,0.35,1595.03,1605.79,10.76,2.34,299,4376.90
63,0.0005,0.1,0.2,0.35,1349.26,1357.09,7.83,2.72,219,3731.79
64,0.00025,0.2,0.2,0.35,2218.02,2235.16,17.14,2.90,492,6279.74
65,0.0003,0.2,0.2,0.35,1973.93,1988.26,14.34,3.26,418,5705.24
66,0.0004,0.2,0.2,0.35,1481.98,1492.47,10.49,1.98,300,3775.77
