variant  place_thresh  max_pos  cancel_buffer  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
31       0.0005        400      0.1            0                   3                  0.35                  1316.69  1325.20         8.52      2.23    240       3152.44
27       0.0005        150      0.1            0                   3                  0.35                  1192.95  1201.55         8.59      2.34    249       3435.06
35       0.0005        600      0.1            0                   3                  0.35                  1407.89  1416.76         8.87      2.41    241       3486.67
67       0.0005        400      0.1            0                   3                  0.5                   1302.66  1311.33         8.66      2.57    242       4131.83
71       0.0005        600      0.1            0                   3                  0.5                   1435.77  1444.54         8.77      2.46    240       4168.26
62       0.0004        150      0.1            0                   3                  0.5                   1466.92  1477.65         10.73     3.71    304       4208.58
30       0.0004        400      0.1            0                   3                  0.35                  1578.91  1590.28         11.37     2.23    325       4390.87
63       0.0005        150      0.1            0                   3                  0.5                   1294.41  1302.60         8.18      2.33    233       4564.45
66       0.0004        400      0.1            0                   3                  0.5                   1676.72  1687.93         11.22     2.71    309       4643.62
61       0.0003        150      0.1            0                   3                  0.5                   1711.55  1726.08         14.53     3.54    437       4712.84
51       0.0005        150      0.1            0                   1                  0.5                   1650.45  1660.65         10.20     2.94    284       4747.86
70       0.0004        600      0.1            0                   3                  0.5                   1629.77  1640.72         10.94     4.53    310       4917.81
69       0.0003        600      0.1            0                   3                  0.5                   1999.46  2014.46         14.99     2.73    433       5011.69
15       0.0005        150      0.1            0                   1                  0.35                  1651.61  1662.22         10.61     3.16    300       5064.82
59       0.0005        600      0.1            0                   1                  0.5                   1788.82  1799.18         10.36     2.57    279       5130.96
25       0.0003        150      0.1            0                   3                  0.35                  1648.77  1664.35         15.59     3.28    456       5194.75
34       0.0004        600      0.1            0                   3                  0.35                  1558.41  1569.69         11.28     2.11    324       5265.74
38       0.0004        150      0.1            0                   0                  0.5                   2004.32  2021.06         16.74     3.00    476       5270.64
18       0.0004        400      0.1            0                   1                  0.35                  2092.11  2105.78         13.67     2.57    386       5351.27
50       0.0004        150      0.1            0                   1                  0.5                   1913.93  1926.64         12.71     4.07    369       5387.51
49       0.0003        150      0.1            0                   1                  0.5                   2130.98  2148.67         17.69     2.94    520       5630.81
55       0.0005        400      0.1            0                   1                  0.5                   1716.02  1726.06         10.05     2.72    281       5636.62
26       0.0004        150      0.1            0                   3                  0.35                  1597.16  1608.10         10.94     2.34    313       5717.72
2        0.0004        150      0.1            0                   0                  0.35                  2151.92  2169.26         17.34     2.89    504       5768.73
14       0.0004        150      0.1            0                   1                  0.35                  1834.27  1847.94         13.66     2.17    388       5773.72
33       0.0003        600      0.1            0                   3                  0.35                  2092.99  2108.48         15.50     2.40    451       5865.18
19       0.0005        400      0.1            0                   1                  0.35                  1803.83  1814.49         10.65     3.00    291       5945.26
23       0.0005        600      0.1            0                   1                  0.35                  1891.74  1902.32         10.59     3.41    297       5974.83
39       0.0005        150      0.1            0                   0                  0.5                   1995.19  2007.96         12.77     2.65    365       5992.30
65       0.0003        400      0.1            0                   3                  0.5                   2005.18  2020.21         15.03     2.68    435       6005.89
3        0.0005        150      0.1            0                   0                  0.35                  2120.53  2134.07         13.53     3.00    380       6113.19
37       0.0003        150      0.1            0                   0                  0.5                   2441.16  2463.32         22.17     3.98    643       6213.80
13       0.0003        150      0.1            0                   1                  0.35                  2234.53  2253.05         18.53     2.78    537       6250.26
60       0.00025       150      0.1            0                   3                  0.5                   2075.01  2092.68         17.67     2.76    522       6297.46
68       0.00025       600      0.1            0                   3                  0.5                   2232.60  2250.54         17.94     2.66    524       6366.60
12       0.00025       150      0.1            0                   1                  0.35                  2342.03  2363.42         21.39     2.97    636       6369.17
48       0.00025       150      0.1            0                   1                  0.5                   2281.67  2302.93         21.26     2.67    630       6396.53
24       0.00025       150      0.1            0                   3                  0.35                  2020.60  2038.45         17.84     2.99    537       6443.98
29       0.0003        400      0.1            0                   3                  0.35                  2123.52  2138.57         15.06     3.62    444       6594.80
22       0.0004        600      0.1            0                   1                  0.35                  2131.58  2145.00         13.43     2.61    381       6600.37
58       0.0004        600      0.1            0                   1                  0.5                   2167.16  2180.27         13.12     4.15    373       6738.43
17       0.0003        400      0.1            0                   1                  0.35                  2547.80  2566.55         18.75     2.69    536       6838.71
54       0.0004        400      0.1            0                   1                  0.5                   2038.43  2051.58         13.15     2.58    369       6900.74
21       0.0003        600      0.1            0                   1                  0.35                  2492.21  2510.99         18.79     2.79    544       6939.15
57       0.0003        600      0.1            0                   1                  0.5                   2504.04  2522.45         18.41     2.73    527       6948.85
1        0.0003        150      0.1            0                   0                  0.35                  2555.22  2578.31         23.09     5.57    670       6967.89
28       0.00025       400      0.1            0                   3                  0.35                  2169.56  2187.68         18.12     2.66    531       6975.83
53       0.0003        400      0.1            0                   1                  0.5                   2451.06  2469.09         18.03     2.69    516       7167.62
16       0.00025       400      0.1            0                   1                  0.35                  2745.87  2768.11         22.24     2.36    645       7336.00
32       0.00025       600      0.1            0                   3                  0.35                  2346.25  2364.79         18.53     2.54    543       7356.99
64       0.00025       400      0.1            0                   3                  0.5                   2302.05  2319.67         17.61     3.32    522       7393.07
36       0.00025       150      0.1            0                   0                  0.5                   2511.88  2537.38         25.51     3.52    751       7393.37
52       0.00025       400      0.1            0                   1                  0.5                   2738.65  2759.87         21.22     2.17    617       7395.30
11       0.0005        600      0.1            0                   0                  0.35                  2542.96  2557.12         14.16     2.14    400       7787.51
56       0.00025       600      0.1            0                   1                  0.5                   2790.83  2812.30         21.47     2.73    622       7889.42
20       0.00025       600      0.1            0                   1                  0.35                  2933.50  2955.66         22.16     2.51    642       8008.55
0        0.00025       150      0.1            0                   0                  0.35                  2680.31  2706.91         26.61     3.57    784       8104.28
42       0.0004        400      0.1            0                   0                  0.5                   2654.15  2671.36         17.21     2.16    489       8117.73
47       0.0005        600      0.1            0                   0                  0.5                   2452.95  2466.59         13.64     2.02    382       8257.52
43       0.0005        400      0.1            0                   0                  0.5                   2566.18  2579.61         13.43     2.33    376       8316.60
7        0.0005        400      0.1            0                   0                  0.35                  2736.86  2751.04         14.18     2.06    398       8679.36
46       0.0004        600      0.1            0                   0                  0.5                   2914.09  2931.56         17.46     2.16    496       9139.89
6        0.0004        400      0.1            0                   0                  0.35                  2858.07  2876.32         18.24     2.12    520       9557.15
5        0.0003        400      0.1            0                   0                  0.35                  3446.62  3470.92         24.30     3.15    693       9861.96
4        0.00025       400      0.1            0                   0                  0.35                  3600.01  3628.73         28.72     3.76    820       9942.67
10       0.0004        600      0.1            0                   0                  0.35                  3054.70  3073.08         18.39     1.97    524       10068.36
8        0.00025       600      0.1            0                   0                  0.35                  3516.87  3545.56         28.70     4.05    820       10089.00
41       0.0003        400      0.1            0                   0                  0.5                   3647.53  3671.12         23.60     2.51    674       10385.67
9        0.0003        600      0.1            0                   0                  0.35                  3492.04  3516.60         24.56     4.14    697       10810.10
40       0.00025       400      0.1            0                   0                  0.5                   3593.50  3621.05         27.55     2.80    792       10887.12
44       0.00025       600      0.1            0                   0                  0.5                   3550.13  3577.38         27.25     2.71    780       10972.88
45       0.0003        600      0.1            0                   0                  0.5                   3658.18  3681.72         23.54     2.25    666       11967.29
