variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
259      0.0003        400      4                0.003         0.4                      0.1            0                 0                   0                  0.5                   2565.42  2591.55         26.13     1.75    676       5407.49
369      0.0003        400      7                0.003         0.4                      0.1            0.5               0                   0                  0.5                   2957.35  2983.65         26.30     1.68    681       5477.62
421      0.0003        400      4                0.003         0.4                      0.1            0.8               0                   0                  0.5                   2394.08  2420.09         26.01     1.63    678       5528.02
313      0.0003        400      4                0.003         0.4                      0.1            0.2               0                   0                  0.5                   2615.16  2641.15         25.99     1.89    676       5534.22
349      0.0003        400      4                0.003         0.2                      0.1            0.5               0                   0                  0.5                   2598.27  2623.84         25.57     2.11    685       5569.74
423      0.0003        400      7                0.003         0.4                      0.1            0.8               0                   0                  0.5                   2933.47  2959.99         26.52     1.57    686       5665.61
312      0.00025       400      4                0.003         0.4                      0.1            0.2               0                   0                  0.5                   2606.64  2636.61         29.97     1.83    802       5696.12
371      0.0003        400      10               0.003         0.4                      0.1            0.5               0                   0                  0.5                   2925.68  2952.35         26.66     1.62    691       5763.61
367      0.0003        400      4                0.003         0.4                      0.1            0.5               0                   0                  0.5                   2605.59  2631.88         26.29     1.79    681       5769.83
25       0.0003        400      4                0.003         0.2                      0.1            0                 0                   0                  0.35                  2647.42  2673.53         26.11     2.29    709       5879.76
43       0.0003        400      4                0.003         0.4                      0.1            0                 0                   0                  0.35                  2750.99  2778.16         27.17     2.49    718       5958.65
151      0.0003        400      4                0.003         0.4                      0.1            0.5               0                   0                  0.35                  2664.69  2692.44         27.76     2.30    723       5968.02
258      0.00025       400      4                0.003         0.4                      0.1            0                 0                   0                  0.5                   2732.10  2761.95         29.85     1.95    797       6131.99
261      0.0003        400      7                0.003         0.4                      0.1            0                 0                   0                  0.5                   3027.24  3053.50         26.27     1.71    686       6204.79
315      0.0003        400      7                0.003         0.4                      0.1            0.2               0                   0                  0.5                   3031.27  3057.61         26.34     1.78    682       6221.16
403      0.0003        400      4                0.003         0.2                      0.1            0.8               0                   0                  0.5                   2511.60  2537.08         25.48     1.86    686       6244.80
241      0.0003        400      4                0.003         0.2                      0.1            0                 0                   0                  0.5                   2701.88  2727.00         25.12     2.19    674       6263.57
97       0.0003        400      4                0.003         0.4                      0.1            0.2               0                   0                  0.35                  2441.45  2468.41         26.96     2.44    710       6391.93
317      0.0003        400      10               0.003         0.4                      0.1            0.2               0                   0                  0.5                   3215.62  3242.27         26.65     1.62    688       6402.37
420      0.00025       400      4                0.003         0.4                      0.1            0.8               0                   0                  0.5                   2619.23  2649.65         30.42     2.21    806       6409.45
209      0.0003        400      10               0.003         0.4                      0.1            0.8               0                   0                  0.35                  3029.26  3057.01         27.75     1.88    721       6416.95
