variant  place_thresh  pred_momentum_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
7        0.0001        0.7                 0.1                   2174.01  2207.11         33.10     0.63    425       2479.49
5        0.0001        0.5                 0.1                   2347.02  2381.04         34.02     0.66    429       2597.87
21       0.0001        0.5                 0.5                   1949.56  1980.75         31.19     0.81    401       2614.75
11       0.0001        0.2                 0.35                  2173.98  2208.24         34.27     0.74    435       2687.31
15       0.0001        0.7                 0.35                  2102.41  2133.54         31.12     0.79    396       2756.06
1        0.0001        0                   0.1                   2259.24  2298.73         39.49     0.59    499       2763.02
13       0.0001        0.5                 0.35                  2160.58  2192.72         32.14     0.78    408       2792.39
9        0.0001        0                   0.35                  2155.27  2192.35         37.08     0.76    466       2815.91
23       0.0001        0.7                 0.5                   1955.39  1986.09         30.70     0.86    391       2824.30
4        5e-05         0.5                 0.1                   2550.40  2597.01         46.61     0.64    569       2831.06
2        5e-05         0.2                 0.1                   2505.50  2556.14         50.64     0.61    618       2863.91
19       0.0001        0.2                 0.5                   1943.07  1976.80         33.73     0.79    428       2932.55
17       0.0001        0                   0.5                   1898.99  1935.71         36.72     0.85    464       2994.75
25       0.0001        0                   1                     1718.22  1753.09         34.88     0.95    444       3084.68
24       5e-05         0                   1                     2254.50  2303.33         48.84     0.92    605       3111.83
22       5e-05         0.7                 0.5                   2426.58  2468.77         42.18     0.77    526       3235.69
29       0.0001        0.5                 1                     1764.34  1794.18         29.84     0.98    380       3242.30
27       0.0001        0.2                 1                     1799.78  1831.76         31.98     0.99    409       3244.97
6        5e-05         0.7                 0.1                   2638.78  2684.67         45.89     0.68    560       3288.86
30       5e-05         0.7                 1                     2255.09  2294.96         39.87     0.92    500       3333.10
16       5e-05         0                   0.5                   2364.12  2416.00         51.88     0.77    645       3370.12
18       5e-05         0.2                 0.5                   2487.30  2534.27         46.97     0.78    582       3390.61
20       5e-05         0.5                 0.5                   2456.60  2500.25         43.65     0.82    543       3395.13
0        5e-05         0                   0.1                   2378.03  2433.48         55.45     0.57    678       3448.80
3        0.0001        0.2                 0.1                   2382.37  2419.01         36.65     0.60    463       3469.78
31       0.0001        0.7                 1                     1865.87  1894.93         29.07     1.03    370       3492.60
10       5e-05         0.2                 0.35                  2589.99  2638.10         48.10     0.72    595       3572.93
14       5e-05         0.7                 0.35                  2518.57  2561.78         43.21     0.74    539       3593.78
12       5e-05         0.5                 0.35                  2579.80  2624.32         44.52     0.73    553       3707.41
8        5e-05         0                   0.35                  2399.20  2452.27         53.08     0.68    655       3710.17
28       5e-05         0.5                 1                     2335.63  2376.05         40.43     0.99    505       3868.60
26       5e-05         0.2                 1                     2369.29  2413.76         44.47     0.99    552       3987.73
