variant  place_thresh  pred_momentum_coef  curv_impulse_coef  premium_ema_coef  premium_tdc_s  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
179      0.00015       0.7                 3                  0.8               120            0.1                   1299.23  1320.40         21.18     0.65    256       1127.38
182      0.00015       0                   5                  0.8               120            0.1                   1186.40  1210.92         24.52     0.57    296       1149.23
170      0.00015       0                   3                  0.8               120            0.1                   1280.99  1307.74         26.75     0.63    330       1172.65
116      0.00015       0.5                 1                  0.5               120            0.1                   1217.49  1234.39         16.90     0.57    210       1184.82
131      0.00015       0.7                 3                  0.5               120            0.1                   1510.04  1532.50         22.46     0.59    278       1276.88
41       0.00015       0.2                 5                  0                 120            0.1                   1483.52  1506.23         22.71     0.50    285       1279.90
140      0.00015       0.5                 5                  0.5               120            0.1                   1369.82  1390.69         20.87     0.53    257       1284.88
191      0.00015       0.7                 5                  0.8               120            0.1                   1172.37  1191.44         19.06     0.56    232       1328.72
95       0.00015       0.7                 5                  0.2               120            0.1                   1415.32  1435.56         20.25     0.54    256       1353.99
173      0.00015       0.2                 3                  0.8               120            0.1                   1463.94  1487.90         23.96     0.62    294       1362.11
77       0.00015       0.2                 3                  0.2               120            0.1                   1663.36  1688.61         25.24     0.56    312       1374.50
122      0.00015       0                   3                  0.5               120            0.1                   1587.89  1614.72         26.82     0.61    330       1387.35
281      0.00015       0.2                 5                  0.2               120            0.5                   1231.12  1251.86         20.74     0.73    257       1403.91
143      0.00015       0.7                 5                  0.5               120            0.1                   1368.06  1388.50         20.44     0.54    253       1418.50
134      0.00015       0                   5                  0.5               120            0.1                   1393.82  1418.27         24.45     0.61    302       1420.71
47       0.00015       0.7                 5                  0                 120            0.1                   1532.26  1553.71         21.45     0.56    268       1428.15
86       0.00015       0                   5                  0.2               120            0.1                   1549.72  1574.11         24.38     0.57    299       1430.20
38       0.00015       0                   5                  0                 120            0.1                   1567.30  1592.12         24.83     0.55    306       1430.82
158      0.00015       0                   1                  0.8               120            0.1                   1466.69  1499.62         32.93     0.70    401       1430.89
125      0.00015       0.2                 3                  0.5               120            0.1                   1710.90  1735.75         24.86     0.64    304       1431.72
29       0.00015       0.2                 3                  0                 120            0.1                   1827.51  1853.12         25.61     0.55    313       1442.31
89       0.00015       0.2                 5                  0.2               120            0.1                   1583.38  1605.74         22.35     0.56    276       1448.64
35       0.00015       0.7                 3                  0                 120            0.1                   1783.45  1807.48         24.03     0.57    297       1449.67
128      0.00015       0.5                 3                  0.5               120            0.1                   1469.59  1492.61         23.02     0.66    285       1471.51
230      0.00015       0                   5                  0                 120            0.5                   1308.88  1331.33         22.44     0.77    277       1497.23
44       0.00015       0.5                 5                  0                 120            0.1                   1463.42  1485.11         21.70     0.55    270       1514.99
188      0.00015       0.5                 5                  0.8               120            0.1                   1249.64  1269.21         19.58     0.64    238       1519.63
83       0.00015       0.7                 3                  0.2               120            0.1                   1699.87  1723.35         23.48     0.57    291       1521.40
26       0.00015       0                   3                  0                 120            0.1                   1706.84  1734.90         28.06     0.55    343       1558.56
74       0.00015       0                   3                  0.2               120            0.1                   1722.20  1749.53         27.33     0.56    336       1578.89
239      0.00015       0.7                 5                  0                 120            0.5                   1176.22  1195.71         19.49     0.71    247       1596.40
32       0.00015       0.5                 3                  0                 120            0.1                   1585.80  1610.30         24.50     0.55    302       1612.08
233      0.00015       0.2                 5                  0                 120            0.5                   1317.60  1339.03         21.44     0.84    264       1616.22
185      0.00015       0.2                 5                  0.8               120            0.1                   1352.74  1374.63         21.89     0.61    266       1617.32
187      0.0001        0.5                 5                  0.8               120            0.1                   1904.24  1933.82         29.57     0.61    368       1620.05
176      0.00015       0.5                 3                  0.8               120            0.1                   1506.25  1528.15         21.91     0.66    267       1630.71
80       0.00015       0.5                 3                  0.2               120            0.1                   1690.88  1714.80         23.92     0.58    296       1648.43
566      0.00015       0                   5                  0.8               120            1                     999.08   1020.65         21.57     0.97    265       1657.70
337      0.0001        0                   0                  0.8               120            0.5                   2160.42  2212.15         51.73     0.69    645       1661.52
422      0.00015       0                   5                  0                 120            1                     931.95   949.19          17.24     0.96    214       1676.61
278      0.00015       0                   5                  0.2               120            0.5                   1262.74  1285.28         22.54     0.79    278       1719.63
137      0.00015       0.2                 5                  0.5               120            0.1                   1583.73  1606.53         22.80     0.61    277       1744.37
85       0.0001        0                   5                  0.2               120            0.1                   1960.95  1997.14         36.19     0.58    457       1750.11
146      0.00015       0                   0                  0.8               120            0.1                   1647.71  1687.80         40.09     0.48    482       1764.43
263      0.00015       0.7                 1                  0.2               120            0.5                   1468.40  1494.50         26.10     0.72    326       1766.69
275      0.00015       0.7                 3                  0.2               120            0.5                   1356.97  1378.10         21.13     0.80    267       1770.29
374      0.00015       0                   5                  0.8               120            0.5                   1129.23  1152.12         22.89     0.92    280       1781.31
164      0.00015       0.5                 1                  0.8               120            0.1                   1761.58  1788.14         26.56     0.75    324       1797.22
479      0.00015       0.7                 5                  0.2               120            1                     1082.80  1101.19         18.39     0.94    231       1807.91
236      0.00015       0.5                 5                  0                 120            0.5                   1226.28  1246.00         19.72     0.79    249       1818.61
161      0.00015       0.2                 1                  0.8               120            0.1                   1881.65  1910.63         28.98     0.70    349       1851.17
167      0.00015       0.7                 1                  0.8               120            0.1                   1660.51  1686.13         25.62     0.69    312       1853.04
133      0.0001        0                   5                  0.5               120            0.1                   1914.92  1950.18         35.26     0.60    448       1854.17
227      0.00015       0.7                 3                  0                 120            0.5                   1333.81  1355.57         21.76     0.71    270       1879.59
287      0.00015       0.7                 5                  0.2               120            0.5                   1237.89  1256.95         19.07     0.83    240       1894.89
203      0.00015       0.7                 0                  0                 120            0.5                   1713.86  1746.97         33.12     0.65    400       1902.82
200      0.00015       0.5                 0                  0                 120            0.5                   1699.32  1733.28         33.96     0.67    405       1905.70
88       0.0001        0.2                 5                  0.2               120            0.1                   2078.51  2110.96         32.45     0.58    408       1915.10
269      0.00015       0.2                 3                  0.2               120            0.5                   1416.01  1439.15         23.14     0.79    285       1920.56
431      0.00015       0.7                 5                  0                 120            1                     1146.82  1165.74         18.93     0.94    236       1939.94
136      0.0001        0.2                 5                  0.5               120            0.1                   2227.53  2259.81         32.27     0.67    406       1946.27
92       0.00015       0.5                 5                  0.2               120            0.1                   1631.85  1653.19         21.34     0.64    263       1958.25
284      0.00015       0.5                 5                  0.2               120            0.5                   1287.01  1306.49         19.48     0.84    244       1962.38
190      0.0001        0.7                 5                  0.8               120            0.1                   2056.00  2084.33         28.33     0.73    358       1975.88
326      0.00015       0                   5                  0.5               120            0.5                   1255.76  1278.55         22.79     0.83    282       1978.08
46       0.0001        0.7                 5                  0                 120            0.1                   1982.31  2012.46         30.15     0.60    382       1978.59
23       0.00015       0.7                 1                  0                 120            0.1                   1752.36  1781.72         29.36     0.56    363       1982.46
377      0.00015       0.2                 5                  0.8               120            0.5                   1152.38  1172.56         20.18     0.81    242       1990.33
175      0.0001        0.5                 3                  0.8               120            0.1                   2276.06  2308.61         32.54     0.66    405       1991.28
71       0.00015       0.7                 1                  0.2               120            0.1                   1802.92  1831.37         28.45     0.56    352       1992.64
25       0.0001        0                   3                  0                 120            0.1                   2195.86  2236.10         40.23     0.56    501       2000.25
218      0.00015       0                   3                  0                 120            0.5                   1367.13  1392.67         25.54     0.73    316       2025.14
181      0.0001        0                   5                  0.8               120            0.1                   2019.60  2056.49         36.89     0.77    466       2029.06
142      0.0001        0.7                 5                  0.5               120            0.1                   1992.00  2020.18         28.18     0.65    359       2030.04
383      0.00015       0.7                 5                  0.8               120            0.5                   1160.29  1178.10         17.81     0.92    218       2032.49
184      0.0001        0.2                 5                  0.8               120            0.1                   2117.84  2150.59         32.75     0.74    412       2038.87
94       0.0001        0.7                 5                  0.2               120            0.1                   2037.85  2067.33         29.48     0.62    376       2046.68
121      0.0001        0                   3                  0.5               120            0.1                   2016.43  2055.90         39.47     0.61    501       2049.94
17       0.00015       0.2                 1                  0                 120            0.1                   1750.48  1782.48         32.00     0.54    384       2062.39
527      0.00015       0.7                 5                  0.5               120            1                     1099.45  1117.50         18.05     1.05    222       2067.01
272      0.00015       0.5                 3                  0.2               120            0.5                   1365.19  1387.15         21.97     0.81    272       2069.31
224      0.00015       0.5                 3                  0                 120            0.5                   1362.76  1385.29         22.54     0.74    280       2076.79
380      0.00015       0.5                 5                  0.8               120            0.5                   1051.92  1070.12         18.20     0.85    224       2081.50
