variant,max_pos,max_back_levels,rung_spacing_mult,place_thresh,pred_momentum_coef,curv_impulse_coef,premium_ema_coef,premium_tdc_s,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
0,8,3,1,5e-05,0,0,0.2,30,1,2440.52,2514.09,73.57,0.80,907,3402.81
1,10,3,1,5e-05,0,0,0.2,30,1,2539.70,2614.21,74.51,0.72,918,3504.31
2,16,3,1,5e-05,0,0,0.2,30,1,2533.39,2608.75,75.36,0.72,924,2877.54
3,24,3,1,5e-05,0,0,0.2,30,1,2560.04,2634.82,74.78,0.71,924,3497.80
4,8,6,1,5e-05,0,0,0.2,30,1,2673.22,2757.19,83.97,0.87,1041,4042.39
5,10,6,1,5e-05,0,0,0.2,30,1,2706.35,2791.66,85.32,0.76,1051,3849.80
6,16,6,1,5e-05,0,0,0.2,30,1,2645.47,2730.78,85.31,0.70,1058,3766.23
7,24,6,1,5e-05,0,0,0.2,30,1,2763.37,2848.94,85.58,0.72,1056,3902.65
8,8,10,1,5e-05,0,0,0.2,30,1,2726.31,2811.29,84.97,0.91,1049,3991.80
9,10,10,1,5e-05,0,0,0.2,30,1,2825.72,2911.47,85.75,0.77,1065,3996.90
10,16,10,1,5e-05,0,0,0.2,30,1,2657.25,2743.33,86.08,0.71,1067,3828.22
11,24,10,1,5e-05,0,0,0.2,30,1,2744.55,2831.04,86.48,0.72,1068,3924.97
12,8,3,2,5e-05,0,0,0.2,30,1,2462.12,2535.03,72.92,0.82,900,3430.47
13,10,3,2,5e-05,0,0,0.2,30,1,2539.44,2612.89,73.45,0.71,903,2872.28
14,16,3,2,5e-05,0,0,0.2,30,1,2513.42,2587.49,74.07,0.69,910,2802.41
15,24,3,2,5e-05,0,0,0.2,30,1,2416.04,2490.24,74.20,0.69,913,2791.38
16,8,6,2,5e-05,0,0,0.2,30,1,2675.64,2753.71,78.07,0.87,964,3268.43
17,10,6,2,5e-05,0,0,0.2,30,1,2593.76,2655.58,61.81,0.90,762,4163.00
18,16,6,2,5e-05,0,0,0.2,30,1,2696.73,2776.56,79.83,0.70,982,3021.14
19,24,6,2,5e-05,0,0,0.2,30,1,2664.92,2744.58,79.67,0.71,982,3030.04
20,8,10,2,5e-05,0,0,0.2,30,1,2616.16,2694.72,78.55,0.84,970,3657.63
21,10,10,2,5e-05,0,0,0.2,30,1,2785.22,2864.61,79.40,0.77,979,3967.63
22,16,10,2,5e-05,0,0,0.2,30,1,2733.93,2813.59,79.65,0.69,981,3100.70
23,24,10,2,5e-05,0,0,0.2,30,1,2717.65,2797.70,80.05,0.71,984,3689.14
24,8,3,4,5e-05,0,0,0.2,30,1,2304.42,2374.50,70.08,0.75,865,3017.22
25,10,3,4,5e-05,0,0,0.2,30,1,2386.40,2457.33,70.93,0.69,873,3159.87
26,16,3,4,5e-05,0,0,0.2,30,1,2307.82,2378.87,71.05,0.65,876,3248.32
27,24,3,4,5e-05,0,0,0.2,30,1,2376.46,2447.83,71.37,0.68,881,2538.00
28,8,6,4,5e-05,0,0,0.2,30,1,2480.92,2553.66,72.74,0.83,896,3655.50
29,10,6,4,5e-05,0,0,0.2,30,1,2507.15,2580.38,73.23,0.72,901,3473.31
30,16,6,4,5e-05,0,0,0.2,30,1,2457.71,2531.64,73.94,0.68,909,3366.46
31,24,6,4,5e-05,0,0,0.2,30,1,2532.67,2606.80,74.13,0.71,913,3425.20
32,8,10,4,5e-05,0,0,0.2,30,1,2473.71,2546.68,72.98,0.81,901,3429.40
33,10,10,4,5e-05,0,0,0.2,30,1,2534.34,2607.96,73.61,0.73,906,3623.04
34,16,10,4,5e-05,0,0,0.2,30,1,2434.98,2509.02,74.04,0.71,913,3433.28
35,24,10,4,5e-05,0,0,0.2,30,1,2541.02,2615.01,73.99,0.69,913,2752.89
36,8,3,1,0.0001,0,0,0.2,30,1,2377.73,2429.91,52.18,0.89,646,4031.08
37,10,3,1,0.0001,0,0,0.2,30,1,2343.31,2395.74,52.43,0.89,654,3423.69
